weight,algorithm,metric,accuracy
uniform,auto,minkowski,0.9777777777777777
uniform,auto,euclidean,0.9777777777777777
uniform,auto,manhattan,0.9777777777777777
uniform,auto,chebyshev,0.9777777777777777
uniform,ball_tree,minkowski,0.9777777777777777
uniform,ball_tree,euclidean,0.9777777777777777
uniform,ball_tree,manhattan,0.9777777777777777
uniform,ball_tree,chebyshev,0.9777777777777777
uniform,kd_tree,minkowski,0.9777777777777777
uniform,kd_tree,euclidean,0.9777777777777777
uniform,kd_tree,manhattan,0.9777777777777777
uniform,kd_tree,chebyshev,0.9777777777777777
uniform,brute,minkowski,0.9777777777777777
uniform,brute,euclidean,0.9777777777777777
uniform,brute,manhattan,0.9777777777777777
uniform,brute,chebyshev,0.9777777777777777
distance,auto,minkowski,0.9777777777777777
distance,auto,euclidean,0.9777777777777777
distance,auto,manhattan,0.9777777777777777
distance,auto,chebyshev,0.9777777777777777
distance,ball_tree,minkowski,0.9777777777777777
distance,ball_tree,euclidean,0.9777777777777777
distance,ball_tree,manhattan,0.9777777777777777
distance,ball_tree,chebyshev,0.9777777777777777
distance,kd_tree,minkowski,0.9777777777777777
distance,kd_tree,euclidean,0.9777777777777777
distance,kd_tree,manhattan,0.9777777777777777
distance,kd_tree,chebyshev,0.9777777777777777
distance,brute,minkowski,0.9777777777777777
distance,brute,euclidean,0.9777777777777777
distance,brute,manhattan,0.9777777777777777
distance,brute,chebyshev,0.9777777777777777